Housing completion
26917 
25714 
18191 
19651 
26892 
25343 
18961 
20488 
27880 
27058 
21724 
23528 
35233 
33581 
26171 
26713 
34593 
33661 
27390 
27587 
35481 
35244 
25982 
27811 
31583 
32527 
25779 
26635 
32230 
31006 
24758 
26831 
30902 
33213 
22782 
24073 
29219 
27724 
18192 
18367 
19848 
21366 
18336 
21357 
25824 
25217 
17545 
18387 
21969 
21897 
17323 
19057 
22536 
21578 
18070 
18691 
20821 
21386 
16873 
17491 
19483 
20929 
16970 
16553 
17200 
18798 
15386 
16666 
16721 
18671 
16212 
17661 
19970 
20620 
16858 
17567 
18058 
17936 
15271 
15275 
14540 
